Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp57R,female,wild,WT,epsilon,7945855,22,-2.3146847551817715,0.18686630586996386,0.16330060652083614,0.18955867036948704,0.6471407231096769,3
Exp57R,female,wild,WT,delta,0007947d79,22,5.178527408706349,-0.9381677934561655,0.5288600928268334,0.09062554313376259,0.380514364039404,1
Exp57R,female,wild,WT,delta,0007947d79,22,3.6880963912529365,1.2446291937552958,0.3788404198137564,0.2739311002681409,0.3472284799181028,1
Exp57R,female,wild,WT,delta,0007947d79,22,7.773327583985004,-1.3505069312051656,0.6563464667618174,0.054465723264086226,0.2891878099740965,1
Exp57R,female,wild,WT,delta,0007947d79,22,4.18801543395434,-1.867148054604257,0.5230663715106484,0.013688762368252786,0.46324486612109883,1
Exp57R,female,wild,WT,delta,0007947d79,22,2.4976557058170097,-1.2722194754760667,0.4271392631816517,0.06450011675189005,0.5083606200664582,3
Exp57R,female,wild,WT,delta,0007947d79,22,-0.4833270994819264,-1.575377779232807,0.31133639444811134,0.04115389982917518,0.6475097057227135,3
Exp57R,female,wild,WT,gamma,0007948d25,22,0.8934824959209445,-0.39383585546860567,0.3237202431106671,0.13892994244639525,0.5373498144429377,3
Exp57R,female,wild,WT,gamma,0007948d25,22,1.0163665999430886,-2.046168276968162,0.3941926414065087,0.0008375026294683565,0.6049698559640229,3
Exp57R,female,wild,WT,gamma,0007948d25,22,1.154235894956671,-0.9023064137058335,0.35496188607189927,0.09628718833440669,0.548750925593694,3
Exp57R,female,wild,WT,gamma,0007948d25,22,-0.47275972418477324,-1.3359547869573263,0.30234103512734584,0.06114469746678032,0.6365142674058738,3
Exp57R,female,wild,WT,gamma,0007948d25,22,-1.041240937911174,-0.44540277589038635,0.24283206134518903,0.13590468223660682,0.6212632564182042,3
Exp57R,female,wild,WT,gamma,0007948d25,22,-4.301640980644807,-1.0384774187545702,0.12649412560877904,0.08852834069477004,0.784977533696451,3
Exp57R,female,wild,WT,alpha,0007945c9b,22,4.029799201208063,-0.6887030169017598,0.4697805057175139,0.11222318048640983,0.4179963137960763,1
Exp57R,female,wild,WT,alpha,0007945c9b,22,2.68097908019772,-1.257734889255124,0.43442498773748556,0.06558847916396744,0.49998653309854707,3
Exp57R,female,wild,WT,alpha,0007945c9b,22,5.097392092013814,0.9201333042376018,0.45204898336947585,0.24589385024028643,0.3020571663902378,1
Exp57R,female,wild,WT,alpha,0007945c9b,22,2.9234206440379666,-0.5473255446406932,0.416781463243336,0.12476476951439065,0.45845376724227344,3
Exp57R,female,wild,WT,alpha,0007945c9b,22,-0.9341322264475188,0.25680791444880485,0.21971164858853356,0.19448584599654434,0.5858025054149221,3
Exp57R,female,wild,WT,alpha,0007945c9b,22,0.8547568648949353,0.23057699378399918,0.297419416373686,0.19110966720916572,0.5114709164171483,3
Exp58L,male,wild,WT,gamma,00079451fd,23,-0.6821610309997477,5.3441433421417015,0.029751169780490975,0.6192384583587394,0.3510103718607697,2
Exp58L,male,wild,WT,gamma,00079451fd,23,0.25703397083164553,1.230499777075387,0.23234106255719855,0.2750242171454159,0.4926347202973856,3
Exp58L,male,wild,WT,gamma,00079451fd,23,1.3249783625968068,3.6683910495896312,0.1819078441294389,0.47794144701240493,0.34015070885815607,2
Exp58L,male,wild,WT,gamma,00079451fd,23,-1.404029944397298,3.928100657142772,0.054692422882392774,0.5014418099879581,0.4438657671296493,2
Exp58L,male,wild,WT,gamma,00079451fd,23,-3.2425663353212784,2.961266047685197,0.014045813341089848,0.4219051106867263,0.5640490759721839,3
Exp58L,male,wild,WT,gamma,00079451fd,23,-0.7917131414576882,5.377105484947778,0.023754939273166055,0.6220642050384887,0.35418085568834523,2
Exp58L,male,wild,WT,beta,0007946e6f,23,0.11767685220512875,5.336883958624741,0.06431907109955509,0.6181021799778456,0.31757874892259935,2
Exp58L,male,wild,WT,beta,0007946e6f,23,-1.909472233241906,0.1904307625587228,0.18052754186324244,0.18958791493764,0.6298845431991176,3
Exp58L,male,wild,WT,beta,0007946e6f,23,0.10263942564649009,1.4229575683956575,0.21812873252792503,0.2912015443613436,0.4906697231107313,3
Exp58L,male,wild,WT,beta,0007946e6f,23,-2.438022610608942,4.936975352392738,0.0,0.5696245572271483,0.4303754427728517,2
Exp58L,male,wild,WT,beta,0007946e6f,23,-1.7793330273153287,3.08358356541835,0.07193369661406226,0.4311522019801241,0.4969141014058136,3
Exp58L,male,wild,WT,beta,0007946e6f,23,0.46283886496305493,9.499650745530273,0.0,0.8897926538114352,0.11020734618856463,2
Exp58L,male,wild,WT,delta,00079481c8,23,-2.6070765626685004,1.0693218184282207,0.11594446384533798,0.26345947021612437,0.6205960659385377,3
Exp58L,male,wild,WT,delta,00079481c8,23,0.446665371020557,1.9490825849019426,0.2121115226407398,0.33491818556397707,0.45297029179528314,3
Exp58L,male,wild,WT,delta,00079481c8,23,0.6242809268929457,6.273565019068321,0.04906837868852894,0.6960027865954816,0.2549288347159894,2
Exp58L,male,wild,WT,delta,00079481c8,23,-2.1852369093772257,6.706215711124791,0.0,0.6743717895607269,0.32562821043927326,2
Exp58L,male,wild,WT,delta,00079481c8,23,-2.9822502004344784,5.109231728896417,0.0,0.5673492528730408,0.43265074712695917,2
